occupation	occupationLabelSv	occupationLabelEn
http://www.wikidata.org/entity/Q168559	politisk kommissarie	political commissar
http://www.wikidata.org/entity/Q4164507	konstkritiker	art critic
http://www.wikidata.org/entity/Q4178004	publicist	publicist
http://www.wikidata.org/entity/Q948329	karaktärsskådespelare	character actor
http://www.wikidata.org/entity/Q957729	pressfotograf	photojournalist
http://www.wikidata.org/entity/Q160131	bagare	baker
http://www.wikidata.org/entity/Q169180	ombudsman	ombudsman
http://www.wikidata.org/entity/Q4405230	auskultant	student teacher
http://www.wikidata.org/entity/Q4414015	disponent	Expeditor
http://www.wikidata.org/entity/Q998628	bokmålare	illuminator
http://www.wikidata.org/entity/Q999897	kader	middle management
http://www.wikidata.org/entity/Q1017553	affärsanalytiker	business analyst
http://www.wikidata.org/entity/Q4220878	filmvetare	film scholar
http://www.wikidata.org/entity/Q4263842	litteraturkritiker	literary critic
http://www.wikidata.org/entity/Q2296367	superintendent	superintendent
http://www.wikidata.org/entity/Q2276446	kock	domestic worker cook
http://www.wikidata.org/entity/Q2295938	körsnär	furrier
http://www.wikidata.org/entity/Q178816	barista	barista
http://www.wikidata.org/entity/Q179985	aktuarie	actuary
http://www.wikidata.org/entity/Q157195	serveringspersonal	waiter
http://www.wikidata.org/entity/Q2272188	khatun	Khatun
http://www.wikidata.org/entity/Q169470	fysiker	physicist
http://www.wikidata.org/entity/Q170790	matematiker	mathematician
http://www.wikidata.org/entity/Q2235104	skeppshandel	ship chandler
http://www.wikidata.org/entity/Q2250054	studie- och yrkesvägledare	school counselor
http://www.wikidata.org/entity/Q158852	dirigent	conductor
http://www.wikidata.org/entity/Q157798	urmakare	watchmaker
http://www.wikidata.org/entity/Q156839	kock	cook
http://www.wikidata.org/entity/Q156624	paparazzi	paparazzi
http://www.wikidata.org/entity/Q1027244	Caller	caller
http://www.wikidata.org/entity/Q1039099	guide	tour guide
http://www.wikidata.org/entity/Q1030095	speciallärare	special education teacher
http://www.wikidata.org/entity/Q10989378	matros	able seaman
http://www.wikidata.org/entity/Q4773904	antropolog	anthropologist
http://www.wikidata.org/entity/Q1125292	postdoktoral	postdoctoral researcher
http://www.wikidata.org/entity/Q1126165	mandarin	Mandarin
http://www.wikidata.org/entity/Q1130252	sportdirektör	sporting director
http://www.wikidata.org/entity/Q1075651	keyboardspelare	keyboardist
http://www.wikidata.org/entity/Q1076502	körledare	choir director
http://www.wikidata.org/entity/Q2251164	Skolfotografi	school photographer
http://www.wikidata.org/entity/Q2251335	skollärare	school teacher
http://www.wikidata.org/entity/Q175301	talskrivare	speechwriter
http://www.wikidata.org/entity/Q176637	pantbank	pawnbroker
http://www.wikidata.org/entity/Q2346290	pestdoktor	plague doctor
http://www.wikidata.org/entity/Q2358549	pressattaché	press agent
http://www.wikidata.org/entity/Q10873124	schackspelare	chess player
http://www.wikidata.org/entity/Q183888	systemutvecklare	software developer
http://www.wikidata.org/entity/Q11202952	mänsklig räknare	human computer
